Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point
2020/03/16 11:22:00 AM,2020/03/16,11:22,2020,Monday,2020/03/16 11:25:00 AM,91329005053,913290,200192221,200761299,II,Initial,,05053,Burglary,Burglary - Commercial,"Burglary, Store, Unlawful Entry",Open or Active,GEARY ST \ GRANT AVE,24655000,Central,Financial District/South Beach,3,37.787765494696465,-122.40504139998343,"(37.787765494696465, -122.40504139998343)"
2020/03/15 09:00:00 AM,2020/03/15,09:00,2020,Sunday,2020/03/16 07:37:00 AM,91325905072,913259,200191831,200760554,II,Initial,,05072,Burglary,Burglary - Other,"Burglary, Other Bldg., Att. Forcible Entry",Open or Active,PAGE ST \ DIVISADERO ST,26029000,Northern,Haight Ashbury,5,37.77220371162243,-122.43723493300963,"(37.77220371162243, -122.43723493300963)"
2020/03/15 12:15:00 PM,2020/03/15,12:15,2020,Sunday,2020/03/15 01:18:00 PM,91318706244,913187,206055110,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,ASHBURY ST \ CLAYTON ST,26214000,Park,Haight Ashbury,5,37.76272223370367,-122.44699434419931,"(37.76272223370367, -122.44699434419931)"
2020/03/16 03:30:00 AM,2020/03/16,03:30,2020,Monday,2020/03/16 07:23:00 AM,91323905073,913239,200191778,200760499,II,Initial,,05073,Burglary,Burglary - Other,"Burglary, Other Bldg., Unlawful Entry",Open or Active,HENRY ST \ SANCHEZ ST,25976000,Park,Castro/Upper Market,8,37.766796197890386,-122.43111448959215,"(37.766796197890386, -122.43111448959215)"
2020/03/16 03:30:00 PM,2020/03/16,15:30,2020,Monday,2020/03/16 03:47:00 PM,91335606244,913356,200192726,200762167,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,39TH AVE \ CLEMENT ST,27899000,Richmond,Lincoln Park,1,37.781327195293386,-122.4998705718611,"(37.781327195293386, -122.4998705718611)"
2020/03/15 08:00:00 PM,2020/03/15,20:00,2020,Sunday,2020/03/16 04:44:00 PM,91339705153,913397,200192920,200761813,II,Initial,,05153,Burglary,Burglary - Other,"Burglary, Non-residential, Unlawful Entry",Open or Active,FULTON ST \ 16TH AVE,27453000,Richmond,Outer Richmond,1,37.77301113293269,-122.47455091172704,"(37.77301113293269, -122.47455091172704)"
2020/03/15 08:30:00 AM,2020/03/15,08:30,2020,Sunday,2020/03/15 12:03:00 PM,91319606244,913196,206055063,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,36TH AVE \ YORBA ST,23361000,Out of SF,Sunset/Parkside,4,37.7348561203188,-122.49340696787205,"(37.7348561203188, -122.49340696787205)"
2020/03/15 12:00:00 AM,2020/03/15,00:00,2020,Sunday,2020/03/15 08:03:00 PM,91318606244,913186,206055057,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Taraval,,,,,
2020/03/16 02:25:00 PM,2020/03/16,14:25,2020,Monday,2020/03/16 02:39:00 PM,91336006244,913360,200192607,200761905,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,VISTA LN \ PARKRIDGE DR,32974000,Park,Twin Peaks,8,37.75235171503818,-122.44598442613956,"(37.75235171503818, -122.44598442613956)"
2020/03/15 03:00:00 PM,2020/03/15,15:00,2020,Sunday,2020/03/16 02:04:00 PM,91331706243,913317,200192516,200761796,II,Initial,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,JACKSON ST \ BUCHANAN ST,26566000,Northern,Pacific Heights,2,37.79288864062453,-122.43126294779938,"(37.79288864062453, -122.43126294779938)"
